author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ANT Development;developer;https://www.cian.ru/sale/flat/303519424/;Москва;sale;flat;2;10;4;136.1;152135071;2024;-1;Монолитный;-1;Чистовая;-1;-1;+74951346248;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306890254/;Москва;sale;flat;9;9;4;233.0;600000000;-1;-1;-1;-1;-1;-1;30 м²;+79639968605;Хамовники;Малая Пироговская ;8;Спортивная;Barrin House
BELFORT;real_estate_agent;https://www.cian.ru/sale/flat/307204736/;Москва;sale;flat;4;19;4;110.0;63000000;2021;-1;-1;-1;-1;85 м²;16 м²;+79660593738;Пресненский;Красногвардейский бульвар;15С2;Улица 1905 года;Счастье на Пресне
Tekta Group;developer;https://www.cian.ru/sale/flat/305021194/;Москва;sale;flat;11;34;4;82.9;39153670;2025;-1;Монолитный;-1;Без отделки, предчистовая;52,3 м²;-1;+74951387095;Обручевский;;;Воронцовская;Эвер ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/262233648/;Москва;sale;flat;5;6;4;157.0;250000000;2018;-1;-1;-1;-1;-1;-1;+79646328563;Замоскворечье;Садовническая набережная;7;Новокузнецкая;BALCHUG VIEWPOINT
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308120148/;Москва;sale;flat;8;8;4;110.0;46690000;1915;-1;-1;-1;-1;80 м²;13,5 м²;+79645652605;Красносельский;Большая Сухаревская площадь;16/18С1;Сухаревская;
MR Group;developer;https://www.cian.ru/sale/flat/306614869/;Москва;sale;flat;34;46;4;95.0;39202963;2027;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, предчистовая;63,5 м²;-1;+74997058993;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/304369940/;Москва;sale;flat;3;9;4;143.0;108900000;2021;-1;-1;-1;-1;90 м²;15 м²;+79660587093;Таганский;Серебрянический переулок;8;Китай-город;Титул на Серебрянической
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306462179/;Москва;sale;flat;24;24;4;196.0;65000000;2009;-1;-1;-1;-1;-1;20 м²;+79651509137;Можайский;Можайское шоссе;22к2;Рабочий посёлок;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/281590820/;Москва;sale;flat;3;14;4;200.0;430000000;-1;-1;-1;-1;-1;-1;-1;+79154194704;Хамовники; Усачева;11Г;Фрунзенская;Садовые кварталы
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308275177/;Москва;sale;flat;5;8;4;100.0;57000000;1954;-1;-1;-1;-1;75 м²;15 м²;+79060416629;Гагаринский; Строителей;6К6;Университет;
Главстрой;developer;https://www.cian.ru/sale/flat/307942399/;Москва;sale;flat;4;7;4;107.3;53102770;2027;-1;-1;-1;Без отделки;69,5 м²;6,6 м²;+74951387141;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/305881561/;Москва;sale;flat;3;9;4;142.5;108900000;-1;-1;-1;-1;-1;-1;10 м²;+79855162121;Таганский;Серебрянический переулок;8;Китай-город;Титул на Серебрянической
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307714148/;Москва;sale;flat;47;52;4;109.2;55000000;-1;-1;-1;-1;-1;60,5 м²;19,3 м²;+79853836287;Раменки;Мичуринский проспект;56;Раменки;Небо — Небоскребы на Мичуринском, 56
КОРТРОС;developer;https://www.cian.ru/sale/flat/307731133/;Москва;sale;flat;27;49;4;109.76;55428800;2027;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;53 м²;-1;+74951387167;Марьина роща; Веткина;2С8;Марьина Роща;TATE 
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308060239/;Москва;sale;flat;3;8;4;92.0;60000000;-1;-1;-1;-1;-1;-1;20 м²;+79855162121;Басманный;Нижняя Красносельская ;35С50;Бауманская;TriBeCa APARTMENTS
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/303029971/;Москва;sale;flat;2;5;4;107.7;34950000;1936;-1;-1;-1;-1;72,9 м²;10,4 м²;+79857048937;Дорогомилово;Студенческая ;35;Студенческая;
Absolute Premium;developer;https://www.cian.ru/sale/flat/308961114/;Москва;sale;flat;12;17;4;155.9;172363000;2026;-1;Монолитный;-1;Без отделки, предчистовая;57,4 м²;-1;+74951387189;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308449311/;Москва;sale;flat;10;29;4;156.4;63650000;-1;-1;-1;-1;-1;-1;50,9 м²;+79057198567;Якиманка;Мытная ;40к3;Шаболовская;Sky House
MR Group;developer;https://www.cian.ru/sale/flat/306614616/;Москва;sale;flat;27;46;4;96.1;39624279;2027;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, предчистовая;63,5 м²;-1;+74997058993;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Sminex;developer;https://www.cian.ru/sale/flat/303408628/;Москва;sale;flat;5;14;4;198.4;557450000;2024;-1;Монолитный;-1;Без отделки;75,6 м²;55 м²;+74951375467;Якиманка;;;Полянка;Лаврушинский ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308342623/;Москва;sale;flat;3;29;4;144.6;57840000;-1;-1;-1;-1;-1;-1;49,7 м²;+79057198567;Якиманка;Мытная ;40к3;Шаболовская;Sky House
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/308881807/;Москва;sale;flat;9;11;4;169.5;79970000;2000;-1;-1;-1;-1;-1;10 м²;+79660619967;Хорошевский; Куусинена;21А;Зорге;
Пионер;developer;https://www.cian.ru/sale/flat/308640105/;Москва;sale;flat;4;11;4;178.6;167141024;2025;-1;Монолитно-кирпичный;-1;Без отделки;-1;-1;+74951387235;Даниловский;;;Павелецкая;Опус ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308342982/;Москва;sale;flat;5;29;4;152.8;61120000;-1;-1;-1;-1;-1;-1;45,4 м²;+79057198567;Якиманка;Мытная ;40к3;Шаболовская;Sky House
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307151489/;Москва;sale;flat;4;5;4;98.5;46000000;1958;-1;-1;-1;-1;-1;22 м²;+79623610548;Тверской;2-й Волконский переулок;12;Цветной бульвар;
TOUCH;developer;https://www.cian.ru/sale/flat/305084568/;Москва;sale;flat;7;13;4;129.88;72452704;2024;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951387101;Южнопортовый;;к2;Дубровка;Шампайн ЖК
ID 413522;realtor;https://www.cian.ru/sale/flat/304329878/;Москва;sale;flat;11;11;4;303.0;501000000;-1;-1;-1;-1;-1;-1;23,9 м²;+79150579850;Хамовники;Трубецкая ;12;Фрунзенская;Садовые кварталы
Анастасия Иванова;realtor;https://www.cian.ru/sale/flat/308201042/;Москва;sale;flat;3;27;4;102.0;58700000;2021;-1;-1;-1;-1;65 м²;20 м²;+79169225336;Раменки; Янковского;1к1;Аминьевская;Событие
Пионер;developer;https://www.cian.ru/sale/flat/301460332/;Москва;sale;flat;7;32;4;114.8;68567744;2025;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;-1;-1;+74951387048;Даниловский;;;Павелецкая;Хай Лайф ЖК
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/293030412/;Москва;sale;flat;3;9;4;225.7;169275000;2002;-1;-1;-1;-1;-1;-1;+79623620296;Арбат;Филипповский переулок;8С1;Кропоткинская;Филипповский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307715589/;Москва;sale;flat;21;22;4;143.2;92550000;2023;-1;-1;-1;Чистовая;50,7 м²;16,3 м²;+79099734492;Хорошево-Мневники; Нижние Мневники;16к5;Терехово ;Остров
Tekta Group;developer;https://www.cian.ru/sale/flat/306869072/;Москва;sale;flat;4;34;4;86.5;31511950;2026;-1;Монолитно-кирпичный;-1;Без отделки;60,1 м²;-1;+74951379105;Нагорный;;2;Нагорная;Твелв ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/292444827/;Москва;sale;flat;7;8;4;200.0;110000000;2001;-1;-1;-1;-1;-1;15 м²;+79660548633;Тверской;Сущевская ;31;Менделеевская;
